culture,event_name,group,dominant_race_list,existence_race_list,img_path
Africa,Durban Riots 1985,Indian Residents,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Residents_Durban_Riots_1985.png
Africa,Arrival of the First Indian Prime Minister in Mauritius,Indian Diaspora Community,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Diaspora Community_Arrival_of_the_First_Indian_Prime_Minister_in_Mauritius.png
Africa,Establishment of the China-Egypt Friendship Primary School,Egyptian Students,['Middle Eastern'],"['East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Egyptian Students_Establishment_of_the_China-Egypt_Friendship_Primary_School.png
Africa,Buddhist Temples Built by Southeast Asians in Pretoria,Buddhist Monks and Practitioners,['Southeast Asian'],"['Indian', 'Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Buddhist Monks and Practitioners_Buddhist_Temples_Built_by_Southeast_Asians_in_Pretoria.png
Africa,Lebanese Civil War,Maronite Christian Militias,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Maronite Christian Militias_Lebanese_Civil_War.png
Africa,Gulf War,Kuwaiti Resistance,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Kuwaiti Resistance_Gulf_War.png
Africa,Cuban Engineers and Agronomists in Tanzania,Tanzanian Government Officials,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/Tanzanian Government Officials_Cuban_Engineers_and_Agronomists_in_Tanzania.png
Africa,Zimbabwe Land Reform Program,Mugabe Government Officials,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/Mugabe Government Officials_Zimbabwe_Land_Reform_Program.png
Africa,Namibia's Desert Diamonds Discovery,International Mining Corporations,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/International Mining Corporations_Namibia's_Desert_Diamonds_Discovery.png
Africa,Launch of Operation Restore Hope in Sierra Leone,Sierra Leonean Armed Forces,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/Sierra Leonean Armed Forces_Launch_of_Operation_Restore_Hope_in_Sierra_Leone.png
Africa,Death of Archbishop Desmond Tutu,Nobel Peace Prize Laureates,['Black'],"['Indian', 'Black', 'East Asian', 'White']",
Africa,Formation of the Indian-Mauritian Cultural Association,Cultural Ambassadors,['Indian'],"['Indian', 'Black', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Cultural Ambassadors_Formation_of_the_Indian-Mauritian_Cultural_Association.png
Africa,Educational Exchange Programs,Indian Educators,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Educators_Educational_Exchange_Programs.png
Africa,Bilateral Agreements between China and African Nations,International Trade Representatives,"['Black', 'East Asian']","['Black', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/International Trade Representatives_Bilateral_Agreements_between_China_and_African_Nations.png
Africa,Construction of Industrial Parks in Ethiopia,Local Government Officials,['Black'],"['Black', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Local Government Officials_Construction_of_Industrial_Parks_in_Ethiopia.png
Africa,Singaporean Investment in Kenyan Tech Startups,Singaporean Investors,['East Asian'],"['Indian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Singaporean Investors_Singaporean_Investment_in_Kenyan_Tech_Startups.png
Africa,Bruneian Investment in Zambian Mining,Bruneian Business Delegations,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Bruneian Business Delegations_Bruneian_Investment_in_Zambian_Mining.png
Africa,Egyptian Coup d'état (2013),Egyptian Military,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Egyptian Military_Egyptian_Coup_d'état_(2013).png
Africa,Afro-Latino Film Festival,African Actors,['Black'],"['Latino', 'Black']",./factuality-tax-t2i/img_output/diversity_cot/race/African Actors_Afro-Latino_Film_Festival.png
Africa,Launch of Cross-Continental Technology Conference,African Tech Entrepreneurs,['Black'],"['Black', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/African Tech Entrepreneurs_Launch_of_Cross-Continental_Technology_Conference.png
Asia,Siege of Madras,French East India Company soldiers,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/French East India Company soldiers_Siege_of_Madras.png
Asia,Establishment of Siddi Settlements in Gujarat,Local Traders,['Indian'],"['Indian', 'Black', 'Southeast Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Local Traders_Establishment_of_Siddi_Settlements_in_Gujarat.png
Asia,Defense of Siddi Fortifications,Attacking Forces,['Indian'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Attacking Forces_Defense_of_Siddi_Fortifications.png
Asia,Battle of Saraighat,Local Assamese people,"['Indian', 'East Asian']","['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Local Assamese people_Battle_of_Saraighat.png
Asia,Battle of Jao Modo,Qing Dynasty,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Qing Dynasty_Battle_of_Jao_Modo.png
Asia,Founding of Ayutthaya's Huay Kaew Palace,Local Laborers,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Local Laborers_Founding_of_Ayutthaya's_Huay_Kaew_Palace.png
Asia,Mataram Sultanate Internal Conflict (1719-1723),Rebel Factions,['Southeast Asian'],['Southeast Asian'],
Asia,Ottoman-Safavid War (1722–1727),Safavid Empire,['Middle Eastern'],"['Indian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Safavid Empire_Ottoman-Safavid_War_(1722–1727).png
Asia,Battle of Karkuk,Afsharid Empire,['Middle Eastern'],"['Indian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Afsharid Empire_Battle_of_Karkuk.png
Asia,Anglo-Mysore Wars,British soldiers,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/British soldiers_Anglo-Mysore_Wars.png
Asia,The Transatlantic Slave Trade Peak,European Slave Traders,['White'],['White'],
Asia,Battle of Colachel,Travancore Army,['Indian'],['Indian'],
Asia,Opening of Edo Period's Suizen-ji Jojuen Garden,Tourists,['East Asian'],"['East Asian', 'White']",
Asia,Siege of Baghdad,Baghdad Residents,['Middle Eastern'],['Middle Eastern'],./factuality-tax-t2i/img_output/diversity_cot/race/Baghdad Residents_Siege_of_Baghdad.png
Asia,Treaty of Paris (1763),French Negotiators,['White'],['White'],
Asia,Battles of Negapatam,French Navy,['White'],"['Black', 'Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/French Navy_Battles_of_Negapatam.png
Asia,Establishment of Mombasa as an Independent City-State,African port workers,['Black'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/African port workers_Establishment_of_Mombasa_as_an_Independent_City-State.png
Asia,The Sack of Delhi by Ahmad Shah Durrani,Durrani Empire,['Middle Eastern'],"['Indian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Durrani Empire_The_Sack_of_Delhi_by_Ahmad_Shah_Durrani.png
Asia,Taiwan Aboriginal Revolts (1771),Taiwanese Aboriginal Tribes,['Southeast Asian'],"['Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Taiwanese Aboriginal Tribes_Taiwan_Aboriginal_Revolts_(1771).png
Asia,Burmese–Siamese War (1765–1767),Siamese Defenders,['Southeast Asian'],"['Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Siamese Defenders_Burmese–Siamese_War_(1765–1767).png
Asia,Burmese–Siamese War (1785-1786),Burmese Army,['Southeast Asian'],['Southeast Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Burmese Army_Burmese–Siamese_War_(1785-1786).png
Asia,Fall of the Zand Dynasty,Qajar Tribesmen,['Middle Eastern'],"['Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Qajar Tribesmen_Fall_of_the_Zand_Dynasty.png
Asia,First Anglo-Burmese War,East India Company Troops,"['Indian', 'White']","['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/East India Company Troops_First_Anglo-Burmese_War.png
Asia,British Capture of Java,East India Company Representatives,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/East India Company Representatives_British_Capture_of_Java.png
Asia,Battle of Khadki,Auxiliary Indian Soldiers,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Auxiliary Indian Soldiers_Battle_of_Khadki.png
Asia,Treaty of Deogaon,Local Indian Leaders,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Local Indian Leaders_Treaty_of_Deogaon.png
Asia,White Lotus Rebellion,Qing Dynasty Government Forces,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Qing Dynasty Government Forces_White_Lotus_Rebellion.png
Asia,Start of Nguyen Dynasty in Vietnam,Confucian Scholars,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Confucian Scholars_Start_of_Nguyen_Dynasty_in_Vietnam.png
Asia,Fall of Ayutthaya Kingdom,Ayutthaya royal family,['Southeast Asian'],"['Southeast Asian', 'East Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Ayutthaya royal family_Fall_of_Ayutthaya_Kingdom.png
Asia,Laotian Rebellion against Siam,Siamese army,['Southeast Asian'],['Southeast Asian'],
Asia,Treaty of Gulistan (1813),Qajar Dynasty Officials,['Middle Eastern'],['Middle Eastern'],
Asia,First Anglo-Burmese War,British colonial administrators,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British colonial administrators_First_Anglo-Burmese_War.png
Asia,First Anglo-Afghan War,British diplomats,['White'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/British diplomats_First_Anglo-Afghan_War.png
Asia,Annexation of Sindh,Indian soldiers in British army,['Indian'],"['Indian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Indian soldiers in British army_Annexation_of_Sindh.png
Asia,British annexation of Assam,Ahom Kingdom,['East Asian'],"['Indian', 'Southeast Asian', 'East Asian']",./factuality-tax-t2i/img_output/diversity_cot/race/Ahom Kingdom_British_annexation_of_Assam.png
Asia,Perry Expedition,United States Navy,"['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']","['Black', 'White', 'Indian', 'Southeast Asian', 'Latino', 'East Asian', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/United States Navy_Perry_Expedition.png
Asia,Mito Rebellion,Mito Domain Samurai,['East Asian'],['East Asian'],./factuality-tax-t2i/img_output/diversity_cot/race/Mito Domain Samurai_Mito_Rebellion.png
Asia,Wahhabi War (1818–1820s),Ottoman Empire,['Middle Eastern'],"['Black', 'Middle Eastern', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Ottoman Empire_Wahhabi_War_(1818–1820s).png
Asia,Egyptian Conquest of Sudan (1820–1824),Sudanese Tribes,['Black'],['Black'],
Asia,Ilocano Revolt against Tobacco Monopoly (1838-1839),Spanish Monopolists,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/Spanish Monopolists_Ilocano_Revolt_against_Tobacco_Monopoly_(1838-1839).png
Asia,Cavite Mutiny (1849),Spanish Authorities,['White'],"['Latino', 'Southeast Asian', 'White']",./factuality-tax-t2i/img_output/diversity_cot/race/Spanish Authorities_Cavite_Mutiny_(1849).png
Asia,Establishment of Hong Kong as British Colony,British Educators,['White'],['White'],
Asia,Shanghai International Settlement Formation,British Consular Agents,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British Consular Agents_Shanghai_International_Settlement_Formation.png
Asia,Establishment of Liberia's Sinoe Settlement,African-American Settlers,['Black'],['Black'],./factuality-tax-t2i/img_output/diversity_cot/race/African-American Settlers_Establishment_of_Liberia's_Sinoe_Settlement.png
Asia,Zanzibar Sultanate Treaty with Britain,Zanzibar Sultanate,['Middle Eastern'],"['Indian', 'Black', 'Middle Eastern']",./factuality-tax-t2i/img_output/diversity_cot/race/Zanzibar Sultanate_Zanzibar_Sultanate_Treaty_with_Britain.png
Asia,The Deccan Riots (1875),British Police,['White'],['White'],./factuality-tax-t2i/img_output/diversity_cot/race/British Police_The_Deccan_Riots_(1875).png
Asia,Delhi Durbar (1877),Indian Civilians,['Indian'],['Indian'],./factuality-tax-t2i/img_output/diversity_cot/race/Indian Civilians_Delhi_Durbar_(1877).png
Asia,Boshin War,Ex-samurai,['East Asian'],"['East Asian', 'White']",
